id,Dimer_Name,Dimer_SMILES,Component_Name_A,Component_SMILES_A,Component_Name_B,Component_SMILES_B,Component_A_Energy_Hatree,Component_B_Energy_Hatree,Component_B_Thermal_correction_to_Gibbs_Free_Energy_Hatree,Component_B_Thermal_correction_to_Enthalpy_Hatree,Component_B_Entropy_J_per_mol_K,Component_A_HOMO_Hatree,Component_B_HOMO_Hatree,Component_A_Dipole_Debye,Component_B_Dipole_Debye,Component_A_LUMO_Hatree,Component_B_LUMO_Hatree,Component_B_Gibbs_Free_Energy_Hatree,Component_B_Enthalpy_Hatree,Dimer_Energy_Hatree,Dimer_Thermal_correction_to_Gibbs_Free_Energy_Hatree,Dimer_Thermal_correction_to_Enthalpy_Hatree,Dimer_Entropy_J_per_mol_K,Dimer_HOMO_Hatree,Dimer_LUMO_Hatree,Dimer_Dipole_Debye,Dimer_Gibbs_Free_Energy_Hatree,Dimer_Enthalpy_Hatree,Binding_energy_kJ_per_mol,Software,Source,Theory_Level
4379,Li+_electrolyte182,CCC1CCOC1C.[Li+],Li+,[Li+],electrolyte182,CCC1CCOC1C,-7.2811983,-350.3337961,0.160802,0.204527,385.045152,-2.3488,-0.24457,-7.2849058,-350.5238224,-0.25486,0.03668,-350.1729941,-350.1292691,-357.654766,0.161828,0.207736,404.266448,-0.39281,-0.19683,-357.8537687,-357.492938,-357.44703,-104.4203357999858,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4380,Li+_electrolyte183,CCCC1CCCO1.[Li+],Li+,[Li+],electrolyte183,CCCC1CCCO1,-7.2811983,-350.3323764,0.159866,0.204884,396.425632,-2.3488,-0.24479,-7.2849058,-350.5231717,-0.25486,0.038,-350.1725104,-350.1274924,-357.6943957,0.163047,0.20902,404.831288,-0.43389,-0.17742,-357.8985535,-357.5313487,-357.4853757,-212.1955354998887,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4381,Li+_electrolyte184,CC1CCOC(C)C1.[Li+],Li+,[Li+],electrolyte184,CC1CCOC(C)C1,-7.2811983,-350.3346323,0.163308,0.204991,367.058136,-2.3488,-0.2476,-7.2849058,-350.5250584,-0.25486,0.03195,-350.1713243,-350.1296413,-357.6518365,0.163541,0.207664,388.551344,-0.41183,-0.20125,-357.8523659,-357.4882955,-357.4441725,-94.53349045005402,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4382,Li+_electrolyte185,CC1COC(C)CO1.[Li+],Li+,[Li+],electrolyte185,CC1COC(C)CO1,-7.2811983,-386.2454979,0.139713,0.181148,364.874088,-2.3488,-0.24002,-7.2849058,-386.4296163,-0.25486,0.04231,-386.1057849,-386.0643499,-393.5930072,0.139437,0.184844,399.856512,-0.39656,-0.20162,-393.790085,-393.4535702,-393.4081632,-174.0995304999598,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4383,Li+_electrolyte186,COC1CCOC1C.[Li+],Li+,[Li+],electrolyte186,COC1CCOC1C,-7.2811983,-386.2335007,0.137252,0.181145,386.51792,-2.3488,-0.24807,-7.2849058,-386.417989,-0.25486,0.03352,-386.0962487,-386.0523557,-393.543895,0.137458,0.183241,403.166056,-0.40343,-0.21187,-393.7366375,-393.406437,-393.360654,-76.6540980000344,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4384,Li+_electrolyte187,COCC1CCCO1.[Li+],Li+,[Li+],electrolyte187,COCC1CCCO1,-7.2811983,-386.2292285,0.137011,0.18166,393.178848,-2.3488,-0.2406,-7.2849058,-386.4141203,-0.25486,0.0353,-386.0922175,-386.0475685,-393.5825665,0.139021,0.18558,409.998528,-0.39782,-0.19,-393.7801012,-393.4435455,-393.3969865,-189.4027823499467,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4385,Li+_electrolyte188,CC1CC(C)(C)CO1.[Li+],Li+,[Li+],electrolyte188,CC1CC(C)(C)CO1,-7.2811983,-350.3383229,0.160124,0.203493,381.902968,-2.3488,-0.24583,-7.2849058,-350.528511,-0.25486,0.03331,-350.1781989,-350.1348299,-357.6943913,0.16012,0.207423,416.554856,-0.4382,-0.19359,-357.8970506,-357.5342713,-357.4869683,-196.5714475499955,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4386,Li+_electrolyte189,CCC1COC(C)C1.[Li+],Li+,[Li+],electrolyte189,CCC1COC(C)C1,-7.2811983,-350.335061,0.159976,0.204301,390.32536,-2.3488,-0.24427,-7.2849058,-350.5256492,-0.25486,0.03763,-350.175085,-350.13076,-357.653681,0.161494,0.207665,406.584384,-0.40033,-0.20018,-357.8525463,-357.492187,-357.446016,-98.25067334995191,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4387,Li+_electrolyte190,COC1COC(C)C1.[Li+],Li+,[Li+],electrolyte190,COC1COC(C)C1,-7.2811983,-386.2353692,0.137155,0.180775,384.116304,-2.3488,-0.25098,-7.2849058,-386.4194862,-0.25486,0.03739,-386.0982142,-386.0545942,-393.614095,0.140387,0.185166,394.325264,-0.4396,-0.16865,-393.8136558,-393.473708,-393.428929,-256.0584512500326,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4388,Li+_electrolyte191,COC1OCC(C)O1.[Li+],Li+,[Li+],electrolyte191,COC1OCC(C)O1,-7.2811983,-422.1624243,0.115356,0.157853,374.221144,-2.3488,-0.27568,-7.2849058,-422.3413595,-0.25486,0.03784,-422.0470683,-422.0045713,-429.5294877,0.11599,0.1618,403.40036,-0.44629,-0.17425,-429.7239414,-429.4134977,-429.3676877,-225.4388200499426,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4389,Li+_electrolyte192,CC(C)C1COCO1.[Li+],Li+,[Li+],electrolyte192,CC(C)C1COCO1,-7.2811983,-386.2437642,0.138402,0.181231,377.1499440000001,-2.3488,-0.26271,-7.2849058,-386.4280326,-0.25486,0.03791,-386.1053622,-386.0625332,-393.5929322,0.138985,0.184931,404.605352,-0.43536,-0.18864,-393.7887753,-393.4539472,-393.4080012,-178.454447350128,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4390,Li+_electrolyte193,CC1COCOC1C.[Li+],Li+,[Li+],electrolyte193,CC1COCOC1C,-7.2811983,-386.2517046,0.140476,0.181545,361.656592,-2.3488,-0.26392,-7.2849058,-386.435624,-0.25486,0.03717,-386.1112286,-386.0701596,-393.6070615,0.141816,0.185302,382.928048,-0.45215,-0.17994,-393.8042701,-393.4652455,-393.4217595,-194.7034042999361,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4391,Li+_electrolyte194,CCC1OCOC1C.[Li+],Li+,[Li+],electrolyte194,CCC1OCOC1C,-7.2811983,-386.2529772,0.139996,0.181415,364.731832,-2.3488,-0.26297,-7.2849058,-386.4364446,-0.25486,0.04007,-386.1129812,-386.0715622,-393.598664,0.141608,0.185383,385.480288,-0.44686,-0.17958,-393.7954063,-393.457056,-393.413281,-169.3145567499521,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4392,Li+_electrolyte195,CCC1CCOCO1.[Li+],Li+,[Li+],electrolyte195,CCC1CCOCO1,-7.2811983,-386.2462013,0.140698,0.182159,365.108392,-2.3488,-0.26538,-7.2849058,-386.4304495,-0.25486,0.03654,-386.1055033,-386.0640423,-393.5527037,0.139517,0.1849,399.643128,-0.39174,-0.21897,-393.7451686,-393.4131867,-393.3678037,-66.43591455007359,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4393,Li+_electrolyte196,CCCC1COCO1.[Li+],Li+,[Li+],electrolyte196,CCCC1COCO1,-7.2811983,-386.2418451,0.139531,0.181837,372.547544,-2.3488,-0.25152,-7.2849058,-386.4252238,-0.25486,0.04208,-386.1023141,-386.0600081,-393.5540778,0.139746,0.184766,396.438184,-0.3943,-0.20715,-393.7468162,-393.4143318,-393.3693118,-81.48081720017552,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4394,Li+_electrolyte197,CC1CC(C)OCO1.[Li+],Li+,[Li+],electrolyte197,CC1CC(C)OCO1,-7.2811983,-386.2399458,0.140835,0.182349,365.568632,-2.3488,-0.25991,-7.2849058,-386.4244094,-0.25486,0.03311,-386.0991108,-386.0575968,-393.5502206,0.141417,0.184866,382.618432,-0.42573,-0.20449,-393.744693,-393.4088036,-393.3653546,-76.34035074993108,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4395,Li+_electrolyte198,COC1OCOC1C.[Li+],Li+,[Li+],electrolyte198,COC1OCOC1C,-7.2811983,-422.1563975,0.114591,0.157749,380.045272,-2.3488,-0.25972,-7.2849058,-422.3351452,-0.25486,0.04127,-422.0418065,-421.9986485,-429.5156508,0.116851,0.161942,397.069968,-0.42924,-0.17958,-429.7093928,-429.3987998,-429.3537088,-204.933402499867,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4396,Li+_electrolyte199,COCC1COCO1.[Li+],Li+,[Li+],electrolyte199,COCC1COCO1,-7.2811983,-422.1374585,0.112999,0.158364,399.479952,-2.3488,-0.25057,-7.2849058,-422.3164484,-0.25486,0.0408,-422.0244595,-421.9790945,-429.4794128,0.11459,0.161913,416.730584,-0.39847,-0.20444,-429.67189,-429.3648228,-429.3174998,-159.5148779999196,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4397,Li+_electrolyte200,COC1CCCC1C.[Li+],Li+,[Li+],electrolyte200,COC1CCCC1C,-7.2811983,-350.3272599,0.161069,0.204632,383.614224,-2.3488,-0.25266,-7.2849058,-350.5170374,-0.25486,0.03256,-350.1661909,-350.1226279,-357.6844965,0.162163,0.208796,410.647048,-0.43878,-0.18531,-357.8871849,-357.5223335,-357.4757005,-199.6385566499825,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4398,Li+_electrolyte201,COC1COCC1C.[Li+],Li+,[Li+],electrolyte201,COC1COCC1C,-7.2811983,-386.2298664,0.137289,0.181139,386.145544,-2.3488,-0.25047,-7.2849058,-386.4145784,-0.25486,0.0332,-386.0925774,-386.0487274,-393.6062779,0.140928,0.18557,393.120272,-0.43596,-0.17266,-393.8058527,-393.4653499,-393.4207079,-249.9822565999717,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4399,Li+_electrolyte202,COC1CCC(C)C1.[Li+],Li+,[Li+],electrolyte202,COC1CCC(C)C1,-7.2811983,-350.3229755,0.161235,0.204542,381.354864,-2.3488,-0.24863,-7.2849058,-350.5128878,-0.25486,0.03252,-350.1617405,-350.1184335,-357.6852369,0.161918,0.208144,407.065544,-0.44357,-0.1878,-357.8885972,-357.5233189,-357.4770929,-212.8311690501345,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4400,Li+_electrolyte203,COC1CCCCC1.[Li+],Li+,[Li+],electrolyte203,COC1CCCCC1,-7.2811983,-350.3280634,0.160147,0.20424,388.2793840000001,-2.3488,-0.25319,-7.2849058,-350.5187462,-0.25486,0.03951,-350.1679164,-350.1238234,-357.6453669,0.160311,0.206775,409.15336,-0.43718,-0.20538,-357.8443799,-357.4850559,-357.4385919,-94.79420259987336,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4401,Li+_electrolyte204,COC1CCOCC1.[Li+],Li+,[Li+],electrolyte204,COC1CCOCC1,-7.2811983,-386.2384725,0.139846,0.181787,369.334232,-2.3488,-0.2556,-7.2849058,-386.4223124,-0.25486,0.03881,-386.0986265,-386.0566855,-393.5822459,0.139337,0.185847,409.563392,-0.37203,-0.20235,-393.7787808,-393.4429089,-393.3963989,-164.2909250498604,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4402,Li+_electrolyte205,COC1CCCOC1.[Li+],Li+,[Li+],electrolyte205,COC1CCCOC1,-7.2811983,-386.2372615,0.139734,0.181847,370.844656,-2.3488,-0.24792,-7.2849058,-386.4212829,-0.25486,0.03934,-386.0975275,-386.0554145,-393.5848699,0.1396,0.185527,404.4338080000001,-0.40375,-0.19574,-393.7820755,-393.4452699,-393.3993429,-174.3597175501088,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4403,Li+_electrolyte206,COC1COCOC1.[Li+],Li+,[Li+],electrolyte206,COC1COCOC1,-7.2811983,-422.1419945,0.1167,0.158453,367.681552,-2.3488,-0.25304,-7.2849058,-422.3193461,-0.25486,0.03415,-422.0252945,-421.9835415,-429.4403501,0.116686,0.160517,385.974,-0.41348,-0.21885,-429.6277364,-429.3236641,-429.2798331,-45.0464911500211,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4404,Li+_electrolyte207,COC1(C)OCCO1.[Li+],Li+,[Li+],electrolyte207,COC1(C)OCCO1,-7.2811983,-422.1652317,0.114305,0.15731,378.702208,-2.3488,-0.26453,-7.2849058,-422.343278,-0.25486,0.04134,-422.0509267,-422.0079217,-429.5353638,0.116643,0.161281,393.082616,-0.45053,-0.17795,-429.729349,-429.4187208,-429.3740828000001,-233.4956919000174,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4405,Li+_electrolyte208,COC1COC(C)O1.[Li+],Li+,[Li+],electrolyte208,COC1COC(C)O1,-7.2811983,0.0,0.0,0.0,0.0,-2.3488,0.0,-7.2849058,0.0,-0.25486,0.0,0.0,0.0,-429.5322502,0.115953,0.161372,399.956928,-0.44237,-0.1752,-429.7258261,-429.4162972,-429.3708782,-1108620.13676345,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4406,Li+_electrolyte209,CC1OCOC(C)O1.[Li+],Li+,[Li+],electrolyte209,CC1OCOC(C)O1,-7.2811983,-422.1613678,0.117469,0.158118,357.953752,-2.3488,-0.26307,-7.2849058,-422.3401246,-0.25486,0.0354,-422.0438988,-422.0032498,-429.5119414,0.115997,0.161119,397.341928,-0.42671,-0.19533,-429.7030782,-429.3959444,-429.3508224,-182.1448501501234,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4407,Li+_electrolyte210,CC(C)C1OCCO1.[Li+],Li+,[Li+],electrolyte210,CC(C)C1OCCO1,-7.2811983,-386.2472847,0.137662,0.181068,382.233504,-2.3488,-0.25727,-7.2849058,-386.4316919,-0.25486,0.03963,-386.1096227,-386.0662167,-393.56737,0.137738,0.183844,405.998624,-0.38798,-0.20242,-393.7600344,-393.429632,-393.383526,-102.0978184998202,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4408,Li+_electrolyte211,COC1OCCC1C.[Li+],Li+,[Li+],electrolyte211,COC1OCCC1C,-7.2811983,-386.2468695,0.138162,0.181396,380.714712,-2.3488,-0.2613,-7.2849058,-386.4320891,-0.25486,0.03963,-386.1087075,-386.0654735,-393.6167092,0.140346,0.185754,399.852328,-0.43935,-0.17146,-393.8161243,-393.4763632,-393.4309552,-232.7279957000752,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4409,Li+_electrolyte212,COC1CCCCO1.[Li+],Li+,[Li+],electrolyte212,COC1CCCCO1,-7.2811983,-386.2447634,0.14004,0.182023,369.706608,-2.3488,-0.25536,-7.2849058,-386.4292153,-0.25486,0.03726,-386.1047234,-386.0627404,-393.6129324,0.141484,0.186152,393.3503920000001,-0.4469,-0.17674,-393.8117209,-393.4714484,-393.4267804,-228.3415728498372,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4410,Li+_electrolyte213,CCC1OCCCO1.[Li+],Li+,[Li+],electrolyte213,CCC1OCCCO1,-7.2811983,-386.252941,0.140324,0.181782,365.079104,-2.3488,-0.26526,-7.2849058,-386.4375142,-0.25486,0.04312,-386.112617,-386.071159,-393.6053089,0.140635,0.185526,395.316872,-0.42332,-0.18757,-393.8027474,-393.4646739,-393.4197829,-186.8557848000494,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4411,Li+_electrolyte214,CCOC1CCCO1.[Li+],Li+,[Li+],electrolyte214,CCOC1CCCO1,-7.2811983,-386.2467075,0.137997,0.181644,384.354792,-2.3488,-0.26184,-7.2849058,-386.4329002,-0.25486,0.04249,-386.1087105,-386.0650635,-393.6203946,0.139456,0.185781,407.935816,-0.44063,-0.1696,-393.8205318,-393.4809386,-393.4346136,-242.8293444000325,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4412,Li+_electrolyte215,CCCC1OCCO1.[Li+],Li+,[Li+],electrolyte215,CCCC1OCCO1,-7.2811983,-386.243143,0.137242,0.181467,389.44672,-2.3488,-0.25975,-7.2849058,-386.4280661,-0.25486,0.04228,-386.105901,-386.061676,-393.6003161,0.140125,0.185456,399.187072,-0.43396,-0.18143,-393.7984627,-393.4601911,-393.4148601,-199.4718373999557,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4413,Li+_electrolyte216,COC1COCCO1.[Li+],Li+,[Li+],electrolyte216,COC1COCCO1,-7.2811983,-422.1433381,0.116936,0.158467,365.727624,-2.3488,-0.24144,-7.2849058,-422.3211689,-0.25486,0.04529,-422.0264021,-421.9848711,-429.5134394,0.118136,0.162609,391.626584,-0.40588,-0.17621,-429.7071925,-429.3953034,-429.3508304,-233.4148265000424,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4414,Li+_electrolyte217,CCOC1COCO1.[Li+],Li+,[Li+],electrolyte217,CCOC1COCO1,-7.2811983,-422.1541448,0.115169,0.158314,379.92812,-2.3488,-0.26795,-7.2849058,-422.3339908,-0.25486,0.045,-422.0389758,-421.9958308,-429.5193273,0.116744,0.162192,400.2121520000001,-0.44061,-0.17573,-429.7135002,-429.4025833,-429.3571353,-220.500517099934,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4415,Li+_electrolyte218,COCC1OCCO1.[Li+],Li+,[Li+],electrolyte218,COCC1OCCO1,-7.2811983,-422.1402557,0.114833,0.158244,382.279528,-2.3488,-0.25154,-7.2849058,-422.3191395,-0.25486,0.03969,-422.0254227,-421.9820117,-429.484091,0.116047,0.16156,400.78536,-0.42562,-0.19262,-429.6765921,-429.368044,-429.322531,-164.4534434999873,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4416,Li+_electrolyte219,COC1CC(C)CO1.[Li+],Li+,[Li+],electrolyte219,COC1CC(C)CO1,-7.2811983,-386.2411694,0.138337,0.1813,378.325648,-2.3488,-0.25371,-7.2849058,-386.4261138,-0.25486,0.03241,-386.1028324,-386.0598694,-393.6171949,0.139571,0.185521,404.630456,-0.44113,-0.17128,-393.8169593,-393.4776239,-393.4316739,-248.9688136001425,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4417,Li+_electrolyte220,CC1COC(C)OC1.[Li+],Li+,[Li+],electrolyte220,CC1COC(C)OC1,-7.2811983,-386.255176,0.139846,0.181206,364.213016,-2.3488,-0.26255,-7.2849058,-386.4395252,-0.25486,0.03754,-386.11533,-386.07397,-393.6126108,0.140959,0.184881,386.781512,-0.44978,-0.17819,-393.8104037,-393.4716518,-393.4277298,-200.1589307501313,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4418,Li+_electrolyte221,COC1CCOCO1.[Li+],Li+,[Li+],electrolyte221,COC1CCOCO1,-7.2811983,-422.1529741,0.117379,0.158807,364.8071440000001,-2.3488,-0.26044,-7.2849058,-422.3310574,-0.25486,0.03471,-422.0355951,-421.9941671,-429.5127801,0.118394,0.162649,389.710312,-0.4313,-0.18153,-429.7064908,-429.3943861,-429.3501311,-206.3845163499045,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4419,Li+_electrolyte222,CCC1OCOCO1.[Li+],Li+,[Li+],electrolyte222,CCC1OCOCO1,-7.2811983,-422.1671121,0.117793,0.158686,360.104328,-2.3488,-0.28344,-7.2849058,-422.3449022,-0.25486,0.04501,-422.0493191,-422.0084261,-429.512732,0.117502,0.162053,392.31276,-0.44573,-0.19273,-429.7037362,-429.39523,-429.350679,-169.1389108000075,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4420,Li+_electrolyte223,CC1(C)CCCOC1.[Li+],Li+,[Li+],electrolyte223,CC1(C)CCCOC1,-7.2811983,-350.3405341,0.16319,0.20446,363.42224,-2.3488,-0.24974,-7.2849058,-350.529915,-0.25486,0.03619,-350.1773441,-350.1360741,-357.6934381,0.163706,0.208152,391.388096,-0.43465,-0.18981,-357.8947273,-357.5297321,-357.4852861,-188.2633153498388,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4421,Li+_electrolyte224,CC1COCC1(C)C.[Li+],Li+,[Li+],electrolyte224,CC1COCC1(C)C,-7.2811983,-350.3342847,0.160984,0.203872,377.672944,-2.3488,-0.24559,-7.2849058,-350.5235676,-0.25486,0.03103,-350.1733007,-350.1304127,-357.6479135,0.161672,0.207,399.1536,-0.38935,-0.20841,-357.8465151,-357.4862415,-357.4409135,-85.14627775008461,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4422,Li+_electrolyte225,CC1COCC(C)C1.[Li+],Li+,[Li+],electrolyte225,CC1COCC(C)C1,-7.2811983,-350.3324092,0.160299,0.203913,384.07028,-2.3488,-0.25079,-7.2849058,-350.5217244,-0.25486,0.03337,-350.1721102,-350.1284962,-357.6517646,0.162123,0.207084,395.927736,-0.40928,-0.19831,-357.8499742,-357.4896416,-357.4446806,-100.1814660499424,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4423,Li+_electrolyte226,CCC1(C)CCOC1.[Li+],Li+,[Li+],electrolyte226,CCC1(C)CCOC1,-7.2811983,-350.329274,0.160112,0.204367,389.701944,-2.3488,-0.24482,-7.2849058,-350.5190105,-0.25486,0.03429,-350.169162,-350.124907,-357.6511197,0.161947,0.207298,399.358616,-0.38677,-0.20069,-357.8494793,-357.4891727,-357.4438217,-106.7197486998814,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4424,Li+_electrolyte227,CC1CCOCC1C.[Li+],Li+,[Li+],electrolyte227,CC1CCOCC1C,-7.2811983,-350.3368256,0.163447,0.205,365.907536,-2.3488,-0.24686,-7.2849058,-350.5260901,-0.25486,0.03532,-350.1733786,-350.1318256,-357.6554972,0.164032,0.208035,387.488608,-0.38965,-0.201,-357.8537226,-357.4914652,-357.4474622,-98.38614914996805,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4425,Li+_electrolyte228,CCC1CCCOC1.[Li+],Li+,[Li+],electrolyte228,CCC1CCCOC1,-7.2811983,-350.3366899,0.162974,0.20523,372.10404,-2.3488,-0.24893,-7.2849058,-350.5265125,-0.25486,0.04144,-350.1737159,-350.1314599,-357.6397095,0.161737,0.207662,404.4087040000001,-0.38587,-0.22795,-357.8428225,-357.4779725,-357.4320475,-57.29182314984854,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4426,Li+_electrolyte229,CCC1COCC1C.[Li+],Li+,[Li+],electrolyte229,CCC1COCC1C,-7.2811983,-350.3305857,0.16134,0.204716,381.965728,-2.3488,-0.24504,-7.2849058,-350.5199923,-0.25486,0.0323,-350.1692457,-350.1258697,-357.6358449,0.15926,0.207802,427.45836,-0.35624,-0.22287,-357.8320941,-357.4765849,-357.4280429,-63.17189295013597,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4427,Li+_electrolyte230,CC(C)C1CCOC1.[Li+],Li+,[Li+],electrolyte230,CC(C)C1CCOC1,-7.2811983,-350.3295793,0.160743,0.204716,387.220832,-2.3488,-0.25119,-7.2849058,-350.519577,-0.25486,0.03336,-350.1688363,-350.1248633,-357.6874521,0.163678,0.208665,396.149488,-0.44717,-0.18576,-357.8892422,-357.5237741,-357.4787871,-201.3088997499142,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4428,Li+_electrolyte231,CC1(C)CCOCC1.[Li+],Li+,[Li+],electrolyte231,CC1(C)CCOCC1,-7.2811983,-350.3392226,0.163307,0.204469,362.476656,-2.3488,-0.24994,-7.2849058,-350.5283002,-0.25486,0.03624,-350.1759156000001,-350.1347536,-357.6826324,0.162634,0.208548,404.316656,-0.42934,-0.19789,-357.8841902,-357.5199984,-357.4740844,-163.336293249823,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4429,Li+_electrolyte232,CCCC1CCOC1.[Li+],Li+,[Li+],electrolyte232,CCCC1CCOC1,-7.2811983,-350.3253088,0.160667,0.205039,390.739576,-2.3488,-0.24478,-7.2849058,-350.5149654,-0.25486,0.03535,-350.1646418,-350.1202698,-357.6411995,0.160804,0.208028,415.8519440000001,-0.37367,-0.21101,-357.8392131,-357.4803955,-357.4331715,-91.08489620010482,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
